adapter_id	source	model_name	task	subtask
AdapterHub/roberta-base-pf-conll2003	hf	roberta-base	None	None
AdapterHub/bert-base-uncased-pf-wnut_17	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-newsqa	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-ud_deprel	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-hotpotqa	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-rotten_tomatoes	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-fce_error_detection	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-mnli	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-trec	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-commonsense_qa	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-conll2003_pos	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-emo	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-duorc_p	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-multirc	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-squad	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-ud_pos	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-copa	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-drop	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-imdb	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-mit_movie_trivia	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-mrpc	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-pmb_sem_tagging	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-qnli	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-rte	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-stsb	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-wic	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-race	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-scitail	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-sick	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-snli	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-anli_r3	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-squad_v2	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-yelp_polarity	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-social_i_qa	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-wikihop	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-cola	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-conll2003	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-cosmos_qa	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-quail	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-quartz	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-sst2	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-swag	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-art	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-cq	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-hellaswag	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-quoref	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-ud_en_ewt	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-qqp	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-record	hf	bert-base-uncased	None	None
AdapterHub/bert-base-uncased-pf-comqa	hf	bert-base-uncased	None	None
AdapterHub/roberta-base-pf-squad_v2	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-fce_error_detection	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-ud_en_ewt	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-boolq	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-ud_deprel	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-snli	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-swag	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-mnli	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-sick	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-sst2	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-hotpotqa	hf	roberta-base	None	None
ghadeermobasher/BC5CDR-Chemical-Disease-balanced-SapBERT-UMLS-2020AB-all-lang-from-XLMR	hf	ghadeermobasher/BC5CDR-Chemical-Disease-balanced-SapBERT-UMLS-2020AB-all-lang-from-XLMR	None	None
calpt/adapter-bert-base-squad1	hf	bert-base-uncased	None	None
AdapterHub/roberta-base-pf-anli_r3	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-imdb	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-wnut_17	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-rotten_tomatoes	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-emo	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-conll2003_pos	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-duorc_p	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-wikihop	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-newsqa	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-race	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-hellaswag	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-wic	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-art	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-conll2000	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-cosmos_qa	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-cq	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-emotion	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-scicite	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-trec	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-winogrande	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-drop	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-mit_movie_trivia	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-mrpc	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-pmb_sem_tagging	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-quartz	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-rte	hf	roberta-base	None	None
Gregor/xlm-roberta-large-wmt21-qe	hf	xlm-roberta-large	None	None
AdapterHub/roberta-base-pf-cola	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-commonsense_qa	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-duorc_s	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-qqp	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-quail	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-quoref	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-record	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-scitail	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-social_i_qa	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-stsb	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-ud_pos	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-yelp_polarity	hf	roberta-base	None	None
Gregor/bert-base-multilingual-cased-wmt21-qe	hf	bert-base-multilingual-cased	None	None
Gregor/xlm-roberta-base-wmt21-qe	hf	xlm-roberta-base	None	None
asahi417/tner-roberta-large-multiconer-en-adapter	hf	roberta-large	None	None
asahi417/tner-xlm-roberta-large-multiconer-mix-adapter	hf	xlm-roberta-large	None	None
asahi417/tner-xlm-roberta-large-multiconer-multi-adapter	hf	xlm-roberta-large	None	None
AdapterHub/roberta-base-pf-comqa	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-copa	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-multirc	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-qnli	hf	roberta-base	None	None
AdapterHub/roberta-base-pf-squad	hf	roberta-base	None	None
davanstrien/book-genre-classification	hf	bert-base-cased	None	None
osanseviero/adapter-test	hf	None	None	None
